"","logFC","logCPM","LR","PValue","FDR"
"PITA_45726",9.4299633890037,5.15721951948295,186.63495515848,1.7253666282355e-42,4.48750606337771e-38
"PITA_40477",11.3767137036017,3.97850720661337,163.546647510406,1.90020258809479e-37,2.47111845568787e-33
"PITA_34642",12.5013013578092,5.09769167563082,161.32418815492,5.81214440787752e-37,5.03893546348288e-33
"PITA_21495",4.75390853419754,4.59313985602803,115.273233927917,6.85680834051067e-27,4.45846820320855e-23
"PITA_07064",3.85237443315981,8.28464756962077,111.897066689907,3.7635122026471e-26,1.95770377757297e-22
"PITA_20445",3.95012153054762,9.95953540866713,104.787523420196,1.35960786552439e-24,5.89367349573731e-21
"PITA_13285",10.6127062531185,3.22097048552473,98.732391065521,2.89035643068072e-23,1.0739325772225e-19
"PITA_49717",11.3641324594544,3.97105716737825,97.4307525260882,5.57730561708544e-23,1.81325177243469e-19
"PITA_23254",9.95940052618181,2.58667725694813,94.2787630341559,2.74075085815235e-22,7.92046545218716e-19
"PITA_25260",7.93706535527708,3.17198048564891,90.5360289020026,1.81639079926195e-21,4.29477348163672e-18
"PITA_29149",10.8396150562597,3.45408013656084,88.6794425653187,4.64264946897097e-21,9.288513079882e-18
"PITA_15444",11.5512981006811,4.15430530178638,88.4296129630127,5.26762930276494e-21,9.78612646682952e-18
"PITA_32490",7.37920740341583,2.63473308505843,84.7352863421805,3.41108109910452e-20,5.91458722044064e-17
"PITA_41407",7.11522544833692,5.02956215163971,83.1851679927741,7.47162210881216e-20,1.2145588714256e-16
"PITA_23992",9.39519742919503,2.03873251021762,82.7404991277997,9.35644553608086e-20,1.43148112910545e-16
"PITA_24441",6.980590621629,4.69270858350081,78.2314535739324,9.16475354739926e-19,1.32425597230171e-15
"PITA_00577",9.10833904768599,1.76737211390246,71.0652644553727,3.45601371979649e-17,4.49437304190934e-14
"PITA_08448",3.75051988675937,5.85681854247556,67.6805740869204,1.92248362885128e-16,2.27281257739967e-13
"PITA_03091",4.93295111817196,3.5910702484049,67.5205251290308,2.08505136188403e-16,2.35783047266269e-13
"PITA_36517",2.92508602459039,9.07246803501966,67.2278806574608,2.4186931303657e-16,2.6211579011534e-13
"PITA_25599",5.47367598236271,6.30811507367958,66.4694295751807,3.55362282496861e-16,3.69704704218434e-13
"PITA_12330",11.5388561353017,4.14272894483739,64.5728643916085,9.30277406848105e-16,9.30599425950475e-13
"PITA_05464",5.68546282516253,2.60252924693024,63.6951361868999,1.4524274201989e-15,1.39911795451679e-12
"PITA_33662",7.23213697043672,1.73573278944104,57.0804913499674,4.1833489909638e-14,3.88588299664206e-11
"PITA_47363",8.87441456098638,1.55430746203615,56.427826404606,5.82994639117975e-14,5.22865778235152e-11
"PITA_39929",3.32230018782119,5.55520231676045,56.1035364794819,6.87533375653395e-14,5.96068518912305e-11
"PITA_08209",5.29556003916827,3.08841130634623,54.7803074474884,1.34784563710942e-13,1.1308424895348e-10
"PITA_07942",7.33212919009413,3.48518667877125,53.7455480992814,2.28210735254203e-13,1.8548540666333e-10
"PITA_30342",9.37302925725693,2.00159218463877,52.0370750682345,5.44625388155951e-13,4.16622403545533e-10
"PITA_27636",3.29466543906529,5.43722245799736,50.9112542760459,9.66379013211914e-13,7.18130050132248e-10
"PITA_44205",3.69545353128585,4.68949816492021,50.1073714408951,1.45559157185146e-12,1.05162447756347e-09
"PITA_43112",3.68122424216071,7.22353941484115,49.2405899355019,2.26416874054889e-12,1.59158823710638e-09
"PITA_23553",3.49494269924904,4.12922687875831,47.8079519426622,4.70081521698902e-12,3.21746060470178e-09
"PITA_04373",10.2127108877112,2.84731535885926,47.232940250601,6.30322035866751e-12,4.20360149509188e-09
"PITA_11859",2.57568926965173,6.45977667969801,46.5564534560285,8.90166077633743e-12,5.78808237829401e-09
"PITA_00967",2.73947792564688,5.05444031402235,44.9434908281494,2.02803224891178e-11,1.28651440882796e-08
"PITA_22157",7.13767474956254,1.64232163303418,44.4415757324059,2.6206221714199e-11,1.5776695729708e-08
"PITA_41232",6.20808410092875,6.38474454821047,44.4057806479587,2.66897847709312e-11,1.5776695729708e-08
"PITA_31556",3.85245173628812,4.57396396841181,43.5953366193537,4.03800141682995e-11,2.33387508556289e-08
"PITA_47823",2.62824799285068,5.84804538297898,43.3830217338442,4.50076400604172e-11,2.50088274605012e-08
"PITA_26516",2.85218903881883,6.24685082202157,43.3749959122573,4.51926214250281e-11,2.50088274605012e-08
"PITA_42897",2.32423509398885,7.98846661289986,43.1463745183016,5.07939305049439e-11,2.75229028854809e-08
"PITA_44090",3.85240499593859,4.404812349739,43.0760460026898,5.26529737688028e-11,2.79479835663835e-08
"PITA_40371",3.71784057311602,6.55773990731486,42.8679995014528,5.85607852289112e-11,3.0462149260375e-08
"PITA_46720",2.57805240230918,5.25869497086609,42.2356112840702,8.09131391142048e-11,4.1264114416105e-08
"PITA_12400",8.18692032626921,0.922721817694496,42.1728219340214,8.35531617411454e-11,4.17910419947202e-08
"PITA_33251",8.35517551805012,1.0364947113184,41.8988607383721,9.61186246600166e-11,4.71688548826863e-08
"PITA_15611",3.92353863805733,4.8085860015921,41.6135219255636,1.11221348154318e-10,5.35695563730678e-08
